1.600000000000000000e+01	1.000000000000000000e+02	4.457300000000000151e-02	9.520999999999999949e-03	1.349700000000000032e-02	4.859999999999999954e-04
1.600000000000000000e+01	1.000000000000000000e+03	2.805830000000000268e-01	3.714499999999999746e-02	1.384699999999999993e-02	1.794000000000000022e-03
1.600000000000000000e+01	5.000000000000000000e+03	1.189329999999999998e+00	1.638940000000000119e-01	1.823400000000000021e-02	7.564999999999999676e-03
1.600000000000000000e+01	1.000000000000000000e+04	2.218109999999999804e+00	3.165729999999999933e-01	2.294900000000000065e-02	1.463899999999999924e-02
1.600000000000000000e+01	2.000000000000000000e+04	4.732199999999999740e+00	6.328620000000000356e-01	3.486700000000000216e-02	2.886199999999999877e-02
3.200000000000000000e+01	1.000000000000000000e+02	9.199699999999999545e-02	1.237800000000000011e-02	1.408000000000000050e-02	8.959999999999999866e-04
3.200000000000000000e+01	1.000000000000000000e+03	7.311410000000000409e-01	5.821599999999999692e-02	1.760600000000000012e-02	5.059000000000000129e-03
3.200000000000000000e+01	5.000000000000000000e+03	3.333130000000000148e+00	2.712530000000000219e-01	3.724600000000000133e-02	2.588800000000000129e-02
3.200000000000000000e+01	1.000000000000000000e+04	6.791809999999999903e+00	5.288749999999999840e-01	7.539300000000000168e-02	4.898399999999999976e-02
3.200000000000000000e+01	2.000000000000000000e+04	1.334490000000000087e+01	1.069110000000000005e+00	1.367180000000000062e-01	9.754999999999999782e-02
6.400000000000000000e+01	1.000000000000000000e+02	2.019739999999999869e-01	1.851399999999999921e-02	1.600400000000000086e-02	2.533000000000000095e-03
6.400000000000000000e+01	1.000000000000000000e+03	1.940660000000000052e+00	1.066040000000000043e-01	3.257100000000000273e-02	1.999799999999999842e-02
6.400000000000000000e+01	5.000000000000000000e+03	9.466440000000000410e+00	5.255290000000000239e-01	1.504620000000000124e-01	9.764000000000000457e-02
6.400000000000000000e+01	1.000000000000000000e+04	1.933060000000000045e+01	1.016040000000000054e+00	2.996500000000000274e-01	1.921819999999999917e-01
6.400000000000000000e+01	2.000000000000000000e+04	3.861129999999999995e+01	2.025170000000000137e+00	5.815270000000000161e-01	3.859049999999999980e-01
1.280000000000000000e+02	1.000000000000000000e+02	3.819690000000000030e-01	2.410199999999999843e-02	2.623299999999999937e-02	1.037300000000000028e-02
1.280000000000000000e+02	1.000000000000000000e+03	4.124909999999999854e+00	1.749149999999999872e-01	1.471659999999999913e-01	9.397700000000000498e-02
1.280000000000000000e+02	5.000000000000000000e+03	1.850250000000000128e+01	7.837950000000000195e-01	7.471280000000000143e-01	4.653530000000000166e-01
1.280000000000000000e+02	1.000000000000000000e+04	3.699539999999999651e+01	1.626279999999999948e+00	1.516969999999999930e+00	9.315849999999999964e-01
1.280000000000000000e+02	2.000000000000000000e+04	7.386639999999999873e+01	4.096379999999999910e+00	2.951259999999999994e+00	2.686380000000000212e+00
