1.600000000000000000e+01	1.000000000000000000e+02	3.482099995017051697e-02	7.590000168420374393e-04
1.600000000000000000e+01	1.000000000000000000e+03	7.587499916553497314e-02	3.273000009357929230e-03
1.600000000000000000e+01	5.000000000000000000e+03	2.624100148677825928e-01	1.601899974048137665e-02
3.200000000000000000e+01	1.000000000000000000e+02	5.762799829244613647e-02	1.289000036194920540e-03
3.200000000000000000e+01	1.000000000000000000e+03	1.632020026445389072e-01	1.123000029474496841e-02
3.200000000000000000e+01	5.000000000000000000e+03	6.872580051422119141e-01	5.593699961900711060e-02
6.400000000000000000e+01	1.000000000000000000e+02	8.743900060653686523e-02	4.863000009208917618e-03
6.400000000000000000e+01	1.000000000000000000e+03	7.292289733886718750e-01	4.514300078153610229e-02
6.400000000000000000e+01	5.000000000000000000e+03	3.686522006988524947e+00	2.479600012302398959e-01
1.280000000000000000e+02	1.000000000000000000e+02	1.521169990301131925e-01	2.097900025546550751e-02
1.280000000000000000e+02	1.000000000000000000e+03	1.232177019119262917e+00	1.811510026454926092e-01
1.280000000000000000e+02	5.000000000000000000e+03	6.061941146850585938e+00	9.441710114479064941e-01
